"MDL,X(pixels),Y(pixels),Distance,SNR,FWHM(pixels),Deflection(arcsec),DeflectionError(arcsec)"
"1,120.905,330.576,4.566,162,1.90,0.450,+0.063"
"2,425.492,1120.897,3.000,35,1.77,0.538,-0.051"
"3,788.888,646.437,3.058,19,1.67,0.585,+0.007"
"4,527.111,17.981,4.522,165,1.71,0.329,-0.062"
"5,3051.848,78.155,4.817,52,1.72,0.369,+0.002"
"6,841.929,213.205,3.802,138,1.60,0.547,+0.083"
"7,2815.052,510.911,3.760,19,1.60,0.406,-0.064"
"8,602.019,746.530,3.168,73,1.77,0.584,+0.026"
"9,651.884,313.647,3.828,51,1.76,0.354,-0.107"
"10,2014.265,112.192,3.694,139,1.59,0.537,+0.059"
"11,828.821,299.299,3.649,21,1.64,0.507,+0.023"
"12,2553.122,351.481,3.676,45,1.74,0.469,-0.012"
"13,2709.304,2037.461,2.446,69,1.76,0.666,-0.056"
"14,2824.313,1452.939,2.694,27,1.63,0.664,+0.009"
"15,1610.946,245.588,3.306,28,1.67,0.502,-0.032"
"16,3063.587,2332.805,3.395,74,1.74,0.491,-0.029"
"17,1077.274,793.764,2.433,26,1.62,0.786,+0.060"
"18,1374.400,153.860,3.555,97,1.62,0.344,-0.153"